symbol,sector
AAPL,Information Technology
MSFT,Information Technology
ABBV,Health Care
ABT,Health Care
ACN,Information Technology
ADBE,Information Technology
AMD,Information Technology
AMGN,Health Care
AMZN,Consumer Discretionary
BAC,Financials
BRK-B,Financials
CAT,Industrials
COST,Consumer Staples
CRM,Information Technology
CSCO,Information Technology
DIS,Communication Services
GE,Industrials
GOOG,Communication Services
GOOGL,Communication Services
GS,Financials
HD,Consumer Discretionary
IBM,Information Technology
INTU,Information Technology
ISRG,Health Care
JNJ,Health Care
JPM,Financials
KO,Consumer Staples
LIN,Materials
MA,Financials
MCD,Consumer Discretionary
META,Communication Services
MS,Financials
NFLX,Communication Services
NKE,Consumer Discretionary
NVDA,Information Technology
ORCL,Information Technology
PEP,Consumer Staples
PG,Consumer Staples
PM,Consumer Staples
QCOM,Information Technology
RTX,Industrials
SPGI,Financials
TMO,Health Care
TSLA,Consumer Discretionary
TXN,Information Technology
UNH,Health Care
V,Financials
WMT,Consumer Staples
XOM,Energy
